Timestamp,Game,Team,Hitter,Inning,Outcome
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
9:21 PM,,Houston Astros,Yainer Diaz,6,Foul
9:15 PM,,Philadelphia Phillies,Nick Castellanos,6,In-play Out
